framework,version,device,op_name,kernel_source,allreduce_dtype,num_gpus,message_size,latency,implementation
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,all_reduce,TRTLLM,bfloat16,2,128,0.002,trtllm
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,all_reduce,TRTLLM,bfloat16,2,256,0.0039484798908233,trtllm
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,all_reduce,TRTLLM,bfloat16,2,512,0.0039740800857543,trtllm
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,all_reduce,TRTLLM,bfloat16,2,1024,0.0040518400073051,trtllm
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,all_reduce,TRTLLM,bfloat16,2,2048,0.0044339200854301,trtllm
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,all_reduce,TRTLLM,bfloat16,2,4096,0.0041488000750541,trtllm
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,all_reduce,TRTLLM,bfloat16,2,8192,0.0044547200202941,trtllm
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,all_reduce,TRTLLM,bfloat16,2,16384,0.004555839896202,trtllm
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,all_reduce,TRTLLM,bfloat16,2,32768,0.0045340800285339,trtllm
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,all_reduce,TRTLLM,bfloat16,2,65536,0.004557119905948599,trtllm
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,all_reduce,TRTLLM,bfloat16,2,131072,0.0047536000609397,trtllm
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,all_reduce,TRTLLM,bfloat16,2,262144,0.0049603199958801,trtllm
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,all_reduce,TRTLLM,bfloat16,2,524288,0.0053939199447631,trtllm
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,all_reduce,TRTLLM,bfloat16,2,1048576,0.0062105602025985,trtllm
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,all_reduce,TRTLLM,bfloat16,2,2097152,0.0080726397037506,trtllm
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,all_reduce,TRTLLM,bfloat16,2,4194304,0.0113072001934051,trtllm
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,all_reduce,TRTLLM,bfloat16,2,8388608,0.0200425601005554,trtllm
